"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/taxa/refs_doc.html"
"Data URL","http://paleobiodb.org/data1.2/taxa/refs.csv?datainfo&rowcount&base_name=brachiopoda&select=taxonomy"
"Access Time","Tue 2017-11-07 07:33:38 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","brachiopoda"
"","ref_type","taxonomy"
"","taxon_status","all"
"Elapsed Time","1.46"
"Records Found","1982"
"Records Returned","1982"
"Records:"
"reference_no","record_type","ref_type","author1init","author1last","author2init","author2last","otherauthors","pubyr","reftitle","pubtitle","editors","pubvol","pubno","firstpage","lastpage","publication_type","language","doi"
"52051","ref","auth,class","Y.","Alméras","P.","Fauré","","2007","Lobothyris sinemuriensis (Oppel) et faune de brachiopodes associée (Sinémurien, France). Evolution du genre Lobothyris Buckman (Brachiopodes, Térébratulidés)","Revue de Paléobiologie, Genève","","26","","335","358","journal article","French",""
"52216","ref","auth,class","Y.","Alméras","P.","Fauré","","2000","Les brachiopodes liasiques des Pyrénées: paléontologie, biostratigraphie, paléobiogéographie et paléoenvironnements","Strata, Série 2, Mémoires","","36","","1","394","serial monograph","French",""
"59442","ref","auth,class","Y.","Alméras","P. H.","Fauré","","2008","Les Brachiopodes du Jurassique moyen sur la Marge sud de la Téthys occidentale (Maroc, Algérie occidentale). Paléontologie et échelles chronostratigraphiques","Revue de Paléobiologie","","27","2","575","657","journal article","English",""
"31570","ref","auth","Y.","Almeras","B.","Lathuiliere","","1984","Paleontologie et paleoecologie de Parvirhynchia parvula (Deslongchamps), brachiopode recifal et perirecifal du Bajocien moyen [Paleontology and paleoecology of Parvirhynchia parvula (Deslongchamps), a Middle Bajocian reefal and perireefal brachiopod]","Geobios","","17","6","797","822","journal article","French",""
"41859","ref","auth,class","Y.","Alméras","R.","Mouterde","M. Benest, S. Elmi, J.P. Bassoullet","1996","Les Brachiopodes Toarciens de la Rampe Carbonatée de Tomar (Portugal)","Documents des Laboratoires de Géologie de Lyon","","138","","125","191","journal article","French",""
"43738","ref","auth,class","Y.","Alméras","B.","Peybernès","","1979","Les brachiopodes du Dogger des Pyrenees Navarro-Languedociennes (biostratigraphie et paleontologie)","Documents des Laboratoires de Géologie de la Faculté des Sciences de Lyon","","76","","23","133","journal article","French",""
"55501","ref","class","F.","Alvarez","C.","Brime","","2000","Type specimens of athyridid brachiopods from the James Hall collections","The University of Kansas Paleontological Contributions","","12","","1","15","journal article","English",""
"24857","ref","auth","A. J.","Amos","","","","1958","Some Lower Carboniferous brachiopods from the Volcan Formation, San Juan, Argentina","Journal of Paleontology","","32","5","838","845","journal article","English",""
"187","ref","auth,class","T. W.","Amsden","","","","1974","Late Ordovician and Early Silurian articulate brachiopods from Oklahoma, southwestern Illinois, and eastern Missouri","Bulletin - Oklahoma Geological Survey","","119","","1","154","","",""
"7439","ref","auth,class","T. W.","Amsden","","","","1958","Stratigraphy and paleontology of the Hunton Group in the Arbuckle Mountain Region. Part II - Haragan articulate brachiopods","Oklahoma Geological Survey Bulletin","","78","","1","144","serial monograph","English",""
"24594","ref","auth,class","T. W.","Amsden","","","","1983","The Late Ordovician brachiopod genera Lepidocyclus and Hiscobeccus","Oklahoma Geological Survey Bulletin","","132","","36","44","journal article","English",""
"53620","ref","auth,class","T. W.","Amsden","","","","1951","Brachiopods of the Henryhouse Formation (Silurian) of Oklahoma","Journal of Paleontology","","25","1 [3]","69","96","journal article","English",""
"20005","ref","auth","T. W.","Amsden","","","","1949","Stratigraphy and paleontology of the Brownsport Formation (Silurian), of western Tennessee","Peabody Museum of Natural History Bulletin","","5","","1","138","journal article","English",""
"20006","ref","auth,class","T. W.","Amsden","","","","1956","Catalog of fossils from the Hunton Group, Oklahoma","Oklahoma Geological Survey, Circular","","39","","1","63","journal article","English",""
"61989","ref","auth,class","T. W.","Amsden","A. J.","Boucot","J. G. Johnson","1967","Conchidium and Its Separation from the Subfamily Pentamerinae","Journal of Paleontology","","41","4","861","867","journal article","English",""
"53585","ref","auth,class","T. W.","Amsden","W. P. S.","Ventress","","1963","Articulate Brachiopods of the Frisco Formation (Devonian)","Oklahoma Geological Survey Bulletin","","94","","8","140","journal article","English",""
"47513","ref","auth,class","B.","Andrade","","","","2006","Los braquiópodos del tránsito Jurásico Inferior-Jurásico Medio de la Cuenca Lusitánica (Portugal)","Coloquios de Paleontología","","56","","5","194","journal article","Spanish",""
"49977","ref","auth","D. A.","Andreev","","","","1993","New Ordovician plectambonitacean brachiopods from Tuva and Leningrad Oblast","Paleontologicheskii Zhurnal","","1993","","50","55","journal article","English",""
"62406","ref","auth,class","O. N.","Andreev","","","","1985","Middle Ordovician brachiopods and trilobites of Tuva and the Altai region","Paleontological Journal","","1985","2","34","45","journal article","English",""
"62404","ref","auth,class","O. N.","Andreeva","","","","1982","Middle Ordovician brachiopods of Tuva and the Altai region","Paleontological Journal","","1982","2","48","59","journal article","English",""
"29254","ref","auth,class","A. R.","Andrew","","","","1906","On the geology of the Clarendon phosphate deposits, Otago, New Zealand","Transactions of the New Zealand Institute","","38","","447","482","journal article","English",""
"15712","ref","auth","N.P.","Angelin","G.","Lindström","","1880","","Fragmenta Silurica e dono Caroli Henrici Wegelin.  Opus studio Nicolai Petri Angelin Inchoatum Jussu et Impensis Academiae Regiae Scientarum Suecicae","","","","1","60","book/book chapter","Italian",""
"13536","ref","auth,class","L.","Angiolini","","","","1995","Permian brachiopods from Karakorum (Pakistan). Pt. 1 (With Appendix).","Revista Italiana di Paleontologia e Stratigrafia","","101","2","165","214","journal article","",""
"13537","ref","auth,class","L.","Angiolini","","","","1996","Permian brachiopods from Karakorum (Pakistan). Pt. 2.","Revista Italiana di Paleontologia e Stratigrafia","","102","1","3","26","journal article","",""
"13538","ref","auth,class","L.","Angiolini","","","","2001","Permian brachiopods from Karakorum (Pakistan), Pt 3","Rivista Italiana di Paleontologia e Stratigrafia","","107","3","307","344","journal article","English",""
"27466","ref","auth,class","L.","Angiolini","","","","2001","New syringothyridid genus (Spiriferinida, Brachiopoda) from the Early Permian of interior Oman","Rivista Italiana di Paleontologia e Stratigrafia","","107","1","125","130","journal article","English",""
"27475","ref","auth,class","L.","Angiolini","","","","2007","Quantitative palaeoecology in the Pachycyrtella bed, Early Permian of interior Oman","Palaeoworld","","16","","233","245","journal article","English",""
"34538","ref","auth,class","L.","Angiolini","","","","1997","Systematic descriptions, in Early Permian (Sakmarian) brachiopods from southeastern Oman","Geobios","","30","3","379","405","journal article","English",""
"35295","ref","auth,class","L.","Angiolini","","","","1999","Brachiopod systematics, in Taxonomy and quantitative biochronology of Guadalupian brachiopods from the Khuff Formation, southeastern Oman","Geobios","","32","5","665","699","journal article","English",""
"17938","ref","auth,class","L.","Angiolini","H.","Brunton","M. Gaetani","2005","Early Permian (Asselian) brachiopods from Karakorum (Pakistan) and their paleobiogeographical significance","Palaeontology","","48","1","69","86","journal article","English",""
"37507","ref","class","L.","Angiolini","H.","Brunton","G. Olivini","2004","Appendix B. Selected palaeontological descriptions, in The Carboniferous of the Western Karakoram (Pakistan)","Journal of Asian Earth Sciences","","23","2","275","305","journal article","English",""
"18222","ref","auth","L.","Angiolini","H.","Bucher","","1999","Taxonomy and quantitative biochronology of Guadalupian brachiopods from the Khuff Formation, southeastern Oman","Géobios","","32","5","665","699","journal article","English",""
"27465","ref","auth","L.","Angiolini","H.","Bucher","A. Pillevuit, J.-P. Platel, J. Roger, J. Broutin, A. Baud, J. Marcoux, H. Al Hashmi","1997","Early Permian (Sakmarian) brachiopods from southeastern Oman","Geobios","","30","3","379","405","journal article","English",""
"60898","ref","auth,class","L.","Angiolini","M.","Campagna","T. Grunt","2016","Systematic palaeontology, in Brachiopods from the Cisuralian–Guadalupian of Darvaz, Tajikistan and implications for Permian stratigraphic correlations","Palaeoworld","","25","","539","568","journal article","English",""
"25502","ref","class","L.","Angiolini","L.","Carabelli","M. Gaetani","2005","Middle Permian brachiopods from Greece and their palaeobiogeographical significance: new evidence for a Gondwanan affinity of the Chios Island Upper Unit","Journal of Systematic Palaeontology","","3","2","169","185","journal article","English",""
"27470","ref","auth,class","L.","Angiolini","L.","Carabelli","A. Nicora, S. Crasquin-Soleau, J. Marcoux, R. Rettori","2007","Brachiopods and other fossils from the Permo-Triassic boundary beds of the Antalya Nappes (SW Taurus, Turkey)","Geobios","","40","","715","729","journal article","English",""
"40791","ref","auth,class","L.","Angiolini","L.","Carabelli","","2010","Upper Permian brachiopods from the Nesen Formation, north Iran","Special Papers in Palaeontology","","84","","41","90","journal article","English",""
"30162","ref","auth,class","L.","Angiolini","S. L.","Long","","2008","The ENS collection: a systematic study of brachiopods from the Lower Permian Vøringen Member, Kapp Starostin Formation, Spitsbergen","Proceedings of the Royal Society of Victoria","","120","1","75","103","journal article","English",""
"33168","ref","auth,class","L.","Angiolini","M. H.","Stephenson","","2008","Early Permian brachiopods and palynomorphs from the Dorud Group, Alborz Mountains, north Iran: evidence of their palaeobiogeographic affinities","Fossils and Strata","","54","","117","132","journal article","English",""
"34539","ref","auth,class","L.","Angiolini","M.","Zarbo","","2006","Systematic descriptions, in New records and new taxa of Permian brachiopods from the Khuff Formation, Midhnab Member, central Saudi Arabia","GeoArabia","","11","4","45","57","journal article","English",""
"27131","ref","auth,class","M. K.","Apollonov","T. N.","Koren","I. F. Nikitin, L. M. Paletz, D. T. Tzai","1988","Nature of the Ordovician-Silurian boundary in south Kazakhstan, USSR","Bulletin of the British Museum (Natural History), Geology","","43","","145","154","journal article","English",""
"52994","ref","auth,class","M. K.","Appollonov","S. M.","Bandaletov","I. F. Nitikin","1980","","The Ordovician-Silurian Boundary in Kazakhstan","","","","1","300","book","Russian",""
"41312","ref","auth,class","N.","Archbold","","","","2001","Permian Productida of Australasia: palaeobiogeographical and palaeoclimatological implications","Brachiopods: Past and Present. Proceedings of the 4th International Brachiopod Congress","S. L. Long, C. H. C. Brunton, L. R. M. Cocks","","","363","372","book/book chapter","English",""
"16868","ref","auth,class","N. W.","Archbold","","","","1983","Permian marine invertebrate provinces of the Gondwana Realm","Alcheringa","","7","","59","73","journal article","English",""
"18935","ref","auth,class","N. W.","Archbold","","","","1997","Studies on Western Australian Permian brachiopods 14. The fauna of the Artinskian High Cliff Sandstone, Perth Basin","Proceedings of the Royal Society of Victoria","","109","2","199","231","journal article","English",""
"18936","ref","auth,class","N. W.","Archbold","","","","1996","Studies on Western Australian Permian brachiopods 13. The fauna of the Artinskian Mingenew Formation, Perth Basin","Proceedings of the Royal Society of Victoria","","108","1","17","42","journal article","English",""
"18956","ref","auth,class","N. W.","Archbold","","","","1991","Studies on Western Australian Permian brachiopods 10. Faunas from the Wooramel Group, Carnarvon Basin","Proceedings of the Royal Society of Victoria","","103","2","55","66","journal article","English",""
"25171","ref","auth,class","N. W.","Archbold","","","","1988","Studies on Western Australian Permian brachiopods 8: The Late Permian brachiopod fauna of the Kirkby Range Member, Canning Basin","Proceedings of the Royal Society of Victoria","","100","","21","32","journal article","English",""
"25503","ref","auth,class","N. W.","Archbold","","","","1999","Additional records of Permian brachiopods from near Rat Buri, Thailand","Proceedings of the Royal Society of Victoria","","111","1","71","86","journal article","English",""
"27301","ref","auth,class","N. W.","Archbold","","","","1986","Studies on Western Australian Permian brachiopods 6. The genera Strophalosia King, 1844, Heteralosia King, 1938 and Echinalosia Waterhouse, 1967","Proceedings of the Royal Society of Victoria","","98","","97","119","journal article","English",""
"27307","ref","auth,class","N. W.","Archbold","","","","1987","Studies on Western Australian Permian brachiopods 7. The strophalosiid genera Wyndhamia Booker, 1929, Lialosia Muir-Wood and Cooper, 1960 and Liveringia gen. nov.","Proceedings of the Royal Society of Victoria","","99","","19","35","journal article","English",""
"27336","ref","auth,class","N. W.","Archbold","","","","1981","Studies on Western Australian Permian brachiopods 2. The Family Rugosochonetidae Muir-Wood 1962","Proceedings of the Royal Society of Victoria","","93","","109","128","journal article","English",""
"27337","ref","auth,class","N. W.","Archbold","","","","1982","Sommeriella, a new name for the Permian chonetacean brachiopod subgenus Sommeria Archbold, 1981","Proceedings of the Royal Society of Victoria","","94","","10","","journal article","English",""
"27339","ref","auth,class","N. W.","Archbold","","","","1983","Studies on Western Australian Permian brachiopods 3. The Family Linoproductidae Stehli 1954","Proceedings of the Royal Society of Victoria","","95","4","237","254","journal article","English",""
"27366","ref","auth,class","N. W.","Archbold","","","","1984","Western Australian occurrences of the Permian brachiopod genus Retimarginifera","Alcheringa","","8","","113","122","journal article","English",""
"27404","ref","auth,class","N. W.","Archbold","","","","1981","Permian brachiopods from western Irian Jaya, Indonesia","Geological Research and Development Centre, Paleontology Series","","2","","1","25","journal article","English",""
"27457","ref","auth,class","N. W.","Archbold","","","","1980","Mingenewia n. gen. (Strophalosiidina, Brachiopoda) from the Western Australian Permian","Journal of Paleontology","","54","1","253","258","journal article","English",""
"27458","ref","auth,class","N. W.","Archbold","","","","1980","Studies on Western Australian Permian brachiopods 1. The family Anopliidae (Chonetidina)","Proceedings of the Royal Society of Victoria","","92","","181","192","journal article","English",""
"27459","ref","auth,class","N. W.","Archbold","","","","1981","Quinquenella (Chonetidina, Brachiopoda) from the Permian of Western Australia","Journal of Paleontology","","55","1","204","210","journal article","English",""
