"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/taxa/refs_doc.html"
"Data URL","http://paleobiodb.org/data1.2/taxa/refs.csv?datainfo&rowcount&base_name=brachiopoda&select=taxonomy"
"Access Time","Tue 2017-11-07 07:33:38 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","brachiopoda"
"","ref_type","taxonomy"
"","taxon_status","all"
"Elapsed Time","1.46"
"Records Found","1982"
"Records Returned","1982"
"Records:"
"reference_no","record_type","ref_type","author1init","author1last","author2init","author2last","otherauthors","pubyr","reftitle","pubtitle","editors","pubvol","pubno","firstpage","lastpage","publication_type","language","doi"
"26786","ref","auth","V.","Jaanuson","","","","1966","Fossil brachiopods with probable aragonitic shell","Geologiska Föreningens I Stockholm Förhandlingar","","88","","279","281","journal article","English",""
"52362","ref","auth,class","V.","Jaanusson","M. G.","Bassett","","1993","Orthambonites and related Ordovician brachiopod genera","Palaeontology","","36","1","21","63","journal article","English",""
"31622","ref","auth,class","D.","Jaboli","","","","1959","Fossili Giurassici dell'Harar (Africa Orientale): Brachiopodi, Lamellibranchi e Gasteropodi [Jurassic fossils from Harar (Eastern Africa): brachiopods, lamellibranchs and gastropods]","Missione Geologica dell'Azienda Italiana Petroli (AGIP) nella Dancalia Meridionale e sugli Altipiani Hararini","","4","1","3","100","serial monograph","Italian",""
"49976","ref","auth,class","K. G.","Jakobsen","G. A.","Brock","A. T. Nielsen, T. P. Topper, D. A. T. Harper","2014","Middle Ordovician brachiopods from the Stairway Sandstone, Amadeus Basin, central Australia","Alcheringa","","38","2","190","208","journal article","English","10.1080/03115518.2013.858204"
"56587","ref","auth,class","K. G.","Jakobsen","G. A.","Brock","A. T. Nielsen, D. K. Mathieson, D. A. Harper","2014","Brachiopods associated with stromatoporoid mounds from the Middle to Upper Ordovician Cashions Creek Limestone, Tasmania","Memoirs of the Association of Australasian Palaeontologists 45","","45","","249","265","journal article","English",""
"53598","ref","auth,class","U. P.","James","","","","1874","Descriptions of new species of Brachiopoda, from the Lower Silurian formation, Cincinnati Group","The Cincinnati Quarterly Journal of Science","","1","","333","335","journal article","English",""
"21221","ref","auth","U. P.","James","","","","1871","","Catalogue of the Lower Silurian fossils, Cincinnati Group","","","","1","14","book/book chapter","English",""
"44757","ref","auth,class","U.","Jansen","","","","2001","Morphologie, taxonomie, und phylogenie unterdevonischer brachiopoden aus der Dra-Ebene (Marokko, Prä-Sahara) und dem Rheinishchen Schiefergebirge (Deutschland)","Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft","","554","","1","389","journal article","German",""
"43493","ref","auth,class","R. P. S.","Jefferies","","","","1961","Brachiopoda, in Upper Triassic brachiopods and lamellibranchs from the Oman Peninsula, Arabia","Palaeontology","","4","","5","11","journal article","English",""
"26176","ref","auth,class","J.","Jin","","","","2003","The Early Silurian brachiopod Eocoelia from the Hudson Bay Basin, Canada","Palaeontology","","46","5","885","902","journal article","English",""
"26177","ref","auth,class","J.","Jin","","","","2005","Reef-dwelling gypiduloid brachiopods in the Lower Silurian Attawapiskat Formation, Hudson Bay region","Journal of Paleontology","","79","1","48","62","journal article","English",""
"51868","ref","auth,class","J.","Jin","","","","1989","Late Ordovician - Early Silurian rhynchonellid brachiopods from Anticosti Island, Quebec","Biostratigraphie du Paleozoique","","10","","5","125","serial monograph","English",""
"56693","ref","auth,class","J.","Jin","","","","2012","Cincinnetina, a new Late Ordovician dalmanellid brachiopod from the Cincinnati type area, USA: implications for the evolution and palaeogeography of the epicontinental fauna of Laurentia","Palaeontology","","55","1","205","228","journal article","English","10.1111/j.1475-4983.2011.01113.x"
"26166","ref","auth,class","J.","Jin","W. G. E.","Caldwell","B. S. Norford","1993","Early Silurian brachiopods and biostratigraphy of the Hudson Bay Lowlands, Manitoba, Ontario and Quebec","Bulletin Geological Survey of Canada","","457","","1","221","serial monograph","English",""
"54343","ref","auth,class","J.","Jin","W. G. E.","Caldwell","B. S. Norford","1997","Late Ordovician brachiopods and biostratigraphy of the Hudson Bay Lowlands, northern Manitoba and Ontario","Bulletin of the Geological Survey of Canada","","513","","1","115","serial monograph","English",""
"54345","ref","auth","J.","Jin","W. G. E.","Caldwell","B. S. Norford","1995","Late Ordovician brachiopods Rafinesquina lata Whiteaves, 1896 and Kjaerina hartae n. sp. from southern Manitoba and the Hudson Bay Lowlands","Canadian Journal of Earth Sciences","","32","","1255","1266","journal article","English",""
"7218","ref","auth,class","J.","Jin","B. D. E.","Chatterton","","1997","Latest Ordovician-Silurian articulate brachiopods and biostratigraphy of the Avalanche Lake area, southwestern District of Mackenzie, Canada","Palaeontographica Canadiana","","13","","1","62","serial monograph","",""
"53345","ref","auth,class","J.","Jin","P.","Copper","","2000","Late Ordovician and Early Silurian pentamerid brachiopods from Anticosti Island, Québec, Canada","Palaeontographica Canadiana","","18","","1","140","serial monograph","English",""
"53372","ref","auth,class","J.","Jin","P.","Copper","","1998","Kulumbella and Microcardinalia (Chiastodoca) new subgenus, Early Silurian divaricate stricklandiid brachiopods from Anticosti Island, eastern Canada","Journal of Paleontology","","72","3","441","453","journal article","English",""
"61966","ref","class","J.","Jin","P.","Copper","","2004","Evolution of the Early Silurian rhynchonellide brachiopod Stegerhynchus, Anticosti Island, eastern Canada","Journal of Paleontology","","78","5","866","883","journal article","English","10.1666/0022-3360(2004)078<0866:EOTESR>2.0.CO;2"
"61874","ref","auth,class","J.","Jin","B. S.","Norford","","1996","Upper Middle Ordovician (Caradoc) brachiopods from the Advance Formation, northern Rocky Mountains, British Columbia","Geological Survey of Canada Bulletin","","491","","1","77","journal article","English",""
"44738","ref","auth,class","J.","Jin","L. E.","Popov","","2008","A new genus of Late Ordovician-Early Silurian pentameride brachiopods and its phylogenetic relationships","Acta Palaeontologica Polonica","","53","2","221","236","journal article","English","10.4202/app.2008.0205"
"9295","ref","auth,class","J.","Jin","R.","Zhan","","2000","Evolution of the Late Ordovician orthid brachiopod Gnamptorhynchos Jin, 1989 from Platystrophia King, 1850, in North America","Journal of Paleontology","","74","6","983","991","journal article","",""
"44576","ref","auth,class","J.","Jin","R.","Zhan","","2008","Late Ordovician Orthide and Billingsellide Brachiopods from Anticosti Island, Eastern Canada: Diversity Change Through Mass Extinction","National Research Council of Canada Monograph Series","","","","","","serial monograph","English",""
"53405","ref","auth,class","J.","Jin","R.","Zhan","P. Copper, W. G. E. Caldwell","2007","Epipunctae and phosphatized setae in Late Ordovician plaesiomyid brachiopods from Anticosti Island, eastern Canada","Journal of Paleontology","","81","4","666","683","journal article","English","10.1666/pleo0022-3360(2007)081[0666:EAPSIL]2.0.CO;2"
"44744","ref","auth,class","J.","Jin","R.-B.","Zhan","J.-Y. Rong","2006","Taxonomic reassessment of two virgianid brachiopod genera from the Upper Ordovician and Lower Silurian of South China","Journal of Paleontology","","80","1","72","82","journal article","English","10.1666/0022-3360(2006)080[0072:TROTVB]2.0.CO;2"
"53404","ref","auth,class","J.","Jin","R.-b.","Zhan","","2001","Late Ordovician Articulate Brachiopods from the Red River and Stony Mountain Formations, Southern Manitoba","","","","","1","117","book","English","10.1139/9780660182834 "
"29927","ref","auth,class","Y. G.","Jin","","","","1976","Taxonomic names, in Late Paleozoic brachiopods from the Mount Jolmo Lungma region","A Report of the Scientific Expedition in the Mount Jolmo Lungma Region (1966-1968)","","2","","159","271","book chapter","Chinese",""
"43592","ref","class","Y. G.","Jin","","","","1983","On the family Lochengiidae","Bulletin of the Nanjing Institute of Geology and Palaeontology, Academia Sinica","","6","","225","248","journal article","English",""
"54075","ref","auth,class","Y. G.","Jin","B. X.","Fang","","1977","Upper Triassic brachiopod fauna from the area in the east of Hengduan Mountain, western Yunnan","Mesozoic Fossils from Yunnan","","2","","39","69","journal article","Chinese",""
"42667","ref","auth,class","Y. G.","Jin","R. S.","Fang","","1985","Early Permian brachiopods from the Kuangshan Formation in Luliang County, Yunnan with notes on paleogeography of south China during the Liangshanian stage","Acta Palaeontologica Sinica","","24","","216","228","journal article","Chinese",""
"38440","ref","auth,class","Y. G.","Jin","S.","Hu","","1982","Brachiopod taxonomic names","Palaeontological Atlas of East China","","2","","186","256","book/book chapter","Chinese",""
"31757","ref","auth,class","Y. G.","Jin","S. Z.","Hu","","1978","Brachiopods of the Kuhfeng Formation in south Anhui and Nanking Hills","Acta Palaeontologica Sinica","","17","2","101","127","journal article","Chinese",""
"33905","ref","auth,class","Y. G.","Jin","Z. T.","Liao","B. X. Fang","1974","Permian brachiopods","Handbook of the Stratigraphy and Paleontology of Southwest China","","","","308","313","book/book chapter","Chinese",""
"36309","ref","auth","Y. G.","Jin","Z. T.","Liao","","1981","Peltichia name, in Paleozoic brachiopods from Xizang (Tibet)","Paleontology of Xizang, Book III, The Series of the Scientific Expedition to the Qinghai-Xizang Plateau","","","","129","","journal article","Chinese",""
"36333","ref","auth,class","Y. G.","Jin","J. Y.","Rong","D. L. Sun","1976","Taxonomic names, in Mesozoic and Cenozoic brachiopods from the Mount Jolmo Lungma region","A Report of the Scientific Expedition in the Mount Jolmo Lungma Region (1966-1968)","","2","","271","357","book/book chapter","Chinese",""
"42669","ref","auth,class","Y. G.","Jin","Q.","Shi","","1985","Carboniferous and Permian brachiopod names, in Late Paleozoic and Triassic brachiopods from the east of the Qinghai-Xizang Plateau","Paleontology and Stratigraphy of Western Sichuan and Eastern Xizang","","","","186","212","book/book chapter","Chinese",""
"34950","ref","auth,class","Y. G.","Jin","D. L.","Sun","S. L. Ye","1979","Mesozoic brachiopod names","Paleontological atlas of northwest China, Qinghai Volume","","1","","131","217","book/book chapter","Chinese",""
"36330","ref","auth,class","Y. G.","Jin","D. L.","Sun","J. Y. Rong","1976","Mesozoic and Cenozoic brachiopods from the Mount Jolmo Lungma region","A Report of the Scientific Expedition in the Mount Jolmo Lungma Region (1966-1968)","","2","","271","357","book/book chapter","Chinese",""
"36332","ref","auth,class","Y. G.","Jin","D. L.","Sun","","1976","Taxonomic names, in Mesozoic and Cenozoic brachiopods from the Mount Jolmo Lungma region","A Report of the Scientific Expedition in the Mount Jolmo Lungma Region (1966-1968)","","2","","271","357","book/book chapter","Chinese",""
"54076","ref","auth","Y. G.","Jin","D. L.","Sun","S. L. Ye","1977","Footnote, in Upper Triassic brachiopod fauna from the area in the east of Hengduan Mountain, western Yunnan","Mesozoic Fossils from Yunnan","","2","","64","","journal article","Chinese",""
"42700","ref","auth,class","Y. G.","Jin","Y.","Wang","D. L. Sun, Q. Shi","1985","Late Paleozoic and Triassic brachiopods from the east of the Qinghai-Xizang Plateau","Paleontology and Stratigraphy of Western Sichuan and Eastern Xizang","","","","182","249","journal article","English",""
"34949","ref","auth,class","Y. G.","Jin","S. L.","Ye","","1979","Permian brachiopod names","Paleontological atlas of northwest China, Qinghai Volume","","1","","70","131","book/book chapter","Chinese",""
"36278","ref","auth","Y. G.","Jin","M. L.","Zhu","","1978","Alatoproductus names, in Brachiopods of the Kuhfeng Formation in south Anhui and Nanking Hills","Acta Palaeontologica Sinica","","17","2","101","127","journal article","Chinese",""
"27633","ref","auth,class","Y.G.","Jin","D. L.","Sun","","1981","Paleozoic brachiopods from Xizang (Tibet)","Paleontology of Xizang, Book III, The Series of the Scientific Expedition to the Qinghai-Xizang Plateau","","","","127","171","book/book chapter","Chinese",""
"262","ref","auth,class","M. B.","Johansen","F.","Surlyk","","1990","Brachiopods and the stratigraphy of the Upper Campanian and Lower Maastrichtian Chalk of Norfolk, England","Palaeontology","","33","4","823","872","journal article","English",""
"7309","ref","auth,class","J. G.","Johnson","","","","1975","Late Early Devonian brachiopods from the Disappointment Bay Formation, Lowther Island, Arctic Canada","Journal of Paleontology","","49","6","947","978","journal article","",""
"10636","ref","auth,class","J. G.","Johnson","","","","1995","Patriaspirifer, a new genus of Lower Devonian spiriferid brachiopods","Journal of Paleontology","","69","1","198","198","journal article","",""
"11582","ref","auth,class","J. G.","Johnson","","","","1971","Lower Givetian brachiopods from Central Nevada","Journal of Paleontology","","45","2","301","326","journal article","English","10.2307/1302643"
"18510","ref","auth","J. G.","Johnson","","","","1966","Middle Devonian brachiopod from the Roberts Mountains, central Nevada","Palaeontology","","9","","152","181","journal article","English",""
"46256","ref","auth,class","J. G.","Johnson","","","","1970","Great Basin Lower Devonian Brachiopoda","Geological Society of America Special Paper","","","131","1","421","journal article","English",""
"53803","ref","auth,class","J. G.","Johnson","","","","1970","Middle Devonian Brachiopods from Central Nevada","Journal of Paleontology","","44","2","252","264","journal article","English",""
"53843","ref","auth","J. G.","Johnson","","","","1966","Parachonetes, a new Lower and Middle Devonian brachiopod genus","Palaeontology","","9","3","365","370","journal article","English",""
"53844","ref","auth","J. G.","Johnson","","","","1967","Toquimaella, a new genus of karpinskiinid brachiopod","Journal of Paleontology","","41","4","874","880","journal article","English",""
"53848","ref","auth","J. G.","Johnson","","","","1966","Two new spiriferid brachiopod genera from the Lower Devonian of Nevada","Journal of Paleontology","","40","5","1043","1050","journal article","English",""
"18480","ref","auth,class","J. G.","Johnson","R. B.","Blodgett","","1993","Russian Devonian Brachiopod Genera Cyrtinoides and Komiella in North America","Journal of Paleontology","","67","6","952","958","journal article","English",""
"46257","ref","auth,class","J. G.","Johnson","A. J.","Boucot","M. A. Murphy","1973","Pridolian and early Gedinnian age brachiopods from the Roberts Mountains Formation of central Nevada","University of California Publications in Geological Sciences","","","100","1","75","journal article","English",""
"43","ref","auth,class","J. G.","Johnson","G.","Klapper","","1990","Lower and Middle Devonian Brachiopod-Dominated Communities of Nevada, and Their Position in a Biofacies-Province-Realm Model","Journal of Paleontology","","64","6","902","941","journal article","English",""
"46870","ref","auth","R. M.","Johnston","","","","1887","Contribution to the palaeontology of the upper Palaeozoic rocks of Tasmania","Papers and Proceedings of the Royal Society of Tasmania for 1886","","","","4","18","journal article","English",""
"18907","ref","auth,class","B.","Jones","","","","1982","Lower Devonian brachiopods from the ""Bird Fiord"" Formation of the Vendom Fiord area, Ellesmere Island, arctic Canada","Journal of Paleontology","","56","6","1375","1396","journal article","English",""
"56641","ref","auth","O. T.","Jones","","","","1928","Plectambonites and some allied genera","Memoirs of the Geological Survey of Great Britain, Palaeontology","","1","","367","527","journal article","English",""
"61935","ref","auth","R. K.","Jones","M.","Brooks","M. G. Bassett, R. L. Austin, R. J. Aldridge","1969","An upper Llandovery limestone overlying Hollybush sandstone (Cambrian) in Hollybush quarry, Malvern hills","Geological Magazine","","106","5","457","469","journal article","English","10.1017/S0016756800058830"
"32508","ref","auth,class","A.","Kaim","A.","Bitner","R. G. Jenkins. Y. Hikida","2010","A monospecific assemblage of terebratulide brachiopods in the Upper Cretaceous seep deposits of Omagari, Hokkaido, Japan","Acta Palaeontologica Polonica","","55","1","73","84","journal article","English",""
"27343","ref","auth,class","N. V.","Kalashnikov","","","","1998","","Permian Spiriferids from the North of European Russia","","","","1","139","book/book chapter","Russian",""
"36287","ref","auth,class","N. V.","Kalashnikov","","","","1981","Brachiopoda","Permskie Otlozheniya Novoi Zemli","","","","51","67","book/book chapter","Russian",""
"27342","ref","auth,class","N.V.","Kalashnikov","","","","1993","","Brakhiopody Permi Evropeiskogo Severa Rossyy","","","","1","114","book/book chapter","English",""
"52593","ref","auth,class","D.","Kaljo","L.","Hints","p. Männik, J. Nõlvak","2008","The succession of Hirnantian events based on data from Baltica: brachiopods, chitinozoans, conodonts, and carbon isotopes","Estonian Journal of Earth Sciences","","57","4","197","218","journal article","English",""
"52982","ref","auth,class","V. P.","Kamyshan","","","","1973"," [Taxonomic names in] Middle Jurassic and Upper Jurassic brachiopods of the north-west Caucasus and Mountain Crimea","Vysha Shkola of the University of Kharkov","","","","1","176","journal article","Russian",""
"52981","ref","auth,class","V. P.","Kamyshan","L. I.","Babanova","","1973","Middle Jurassic and Upper Jurassic brachiopods of the north-west Caucasus and Mountain Crimea","Vysha Shkola of the University of Kharkov","","","","1","176","journal article","Russian",""
"32353","ref","auth,class","A. S.","Kashirtsev","","","","1959","","Polevoi Atlas Fauny Permskikh Otlozhenii Severo-Vostoka SSSR","","","","1","85","book/book chapter","Russian",""
"53383","ref","auth,class","Y. I.","Kats","","","","1962","New genera of Late Cretaceous brachiopods of the Tadzhik depression and adjacent regions","Zapiski Geologicheskogo Otdeleniya Kharkovskogo Gosudarstvennogo Universiteta","","15","","132","154","journal article","Russian",""
"44371","ref","auth","E.","Kayser","","","","1883","Obercarbonische fauna von Lo-Ping","China: Ergebnisse Eigener Reisen und Darauf Gegründeter Studien","F. von Richthofen","4","","160","208","book/book chapter","German",""
"38398","ref","auth,class","H.","Keidel","","","","1906","Geologische Untersuchungen im südlichen Tian-Schan nebst Beschreibung einer obercarbonischen Brachiopodenfauna aus dem Kukurtkuk-Tal","Neues Jahrbuch für Mineralogie, Geologie und Paläontologie","","22","","266","384","journal article","German",""
"55431","ref","auth,class","F. B.","Kelly","","","","1967","Silurian leptaenids (Brachiopoda)","Palaeontology","","10","4","590","602","journal article","English",""
"5412","ref","auth","B.","Kensley","","","","1972","Pliocene marine invertebrates from Langebaanweg, Cape Province","Annals of the South African Museum","","60","4","173","190","","",""
"10310","ref","auth,class","R. V.","Kesling","R. B.","Chilman","","1975","Strata and megafossils of the Middle Devonian Silica Formation","University of Michigan Papers on Paleontology","","8","","1","408","serial monograph","",""
"16401","ref","auth,class","A.","Keyserling","","","","1846","","Wissenschaftliche Beobachtungen auf einer Reise in das Petschora Land im Jahre 1843","","","","1","465","book/book chapter","German",""
"21327","ref","auth","J.","Kiaer","","","","1902","Studies over den norske Mellemsilur","Norges Geologiske Undersogelse Kristiania Aarbog 1902, [no. 1, 1901]","","","","1","112","book/book chapter","other",""
"9159","ref","auth,class","W.","Kiessling","","","","2003","Personal data","","","","","","","unpublished","English",""
"9940","ref","auth","W.","Kiessling","","","","2004","Ecology opinions","","","","","","","unpublished","",""
"26431","ref","class","W.","Kiessling","","","","2008","New opinions on coral taxonomy","","","","","","","unpublished","English",""
"30388","ref","auth,class","W.","Kiessling","","","","2009","Taxonomic vetting of messy data in the Paleobiology Database","","","","","","","unpublished","English",""
"31428","ref","auth,class","W.","Kiessling","D. K.","Pandey","M. Schemm-Gregory, H. Mewis, M. Aberhan","2011","Marine benthic invertebrates from the Upper Jurassic of northern Ethiopia and their biogeographic affinities","Journal of African Earth Sciences","","59","","195","214","journal article","English","doi:10.1016/j.jafrearsci.2010.10.006"
"25816","ref","auth","C. H.","Kindle","S.H.","Eidman","","1955","Fauna of the Kanouse Sandstone at Highland Mills, New York","Journal of Paleontology","","29","1","183","185","journal article","English",""
"13436","ref","auth,class","E. M.","Kindle","","","","1909","The Devonian fauna of the Ouray Limestone","United States Geological Survey Bulletin","","391","","1","60","serial monograph","English",""
"16088","ref","auth,class","E. M.","Kindle","","","","1900","The Devonian fossils and stratigraphy of Indiana","Indiana Department of Geology and Natural Resources Annual Report","","25","","1","737","journal article","English",""
"18203","ref","auth,class","R. E.","King","","","","1931","The Geology of the Glass Mountains, Texas, Part II, Faunal summary and correlation of the Permian formations with description of Brachiopoda","The University of Texas Bulletin","","3042","","1","245","serial monograph","English",""
"27613","ref","auth","R. H.","King","","","","1938","New Chonetidae and Productidae from Pennsylvanian and Permian strata of north-central Texas","Journal of Paleontology","","12","3","257","279","journal article","English",""
"12029","ref","auth","W.","King","","","","1844","On a new genus of Paleozoic shells","Annual Magazine of Natural History (Series 1)","","14","","313","317","journal article","",""
"25544","ref","auth","W.","King","","","","1846","Remarks on certain genera belonging to the class Palliobranchiata","Annals and Magazine of Natural History, series 1","","183","","26","42","journal article","English",""
"21336","ref","auth,class","W.","King","","","","1850","Monograph of the Permian fossils of England","Palaeontographical Society","","","","1","253","book/book chapter","English",""
"12353","ref","auth","H.","Kirchner","","","","1933","Die Fossilien der Würzburger Trias: Brachiopoda","Neues Jahrbuch für Mineralogie, Geologie und Paläontologie, Beilagenband","","71","B","88","138","journal article","German",""
"36034","ref","auth,class","E.","Kirk","T. W.","Amsden","","1952","Upper Silurian brachiopods from southeastern Alaska","United States Geological Survey Professional Paper","","233-C","","53","55","journal article","English",""
"16980","ref","auth,class","T.","Kjerulf","","","","1865","Veiviser ved geologiske Excursioner i Christiania Omegn, med Kart","Universitätsprogram for andet Halvaar","","19051865","","1","43","serial monograph","other",""
"29412","ref","auth,class","A. G.","Klets","","","","1988","Akatchania plana","Biostratigraphiya i Brakhiopody Permi Verkhoyaniya","","","","135","137","book/book chapter","Russian",""
"33557","ref","auth,class","A. G.","Klets","","","","1987","Brachiopods of the family Elythidae from the Lower Permian of the Khabarovsk Territory","Paleontological Journal","","21","","31","36","journal article","English",""
"34670","ref","auth,class","A. G.","Klets","","","","1998","New stratigraphically significant brachiopods from the late Paleozoic of southwestern Verkhoyan'ye","News on Paleontology and Stratigraphy","","1","","91","101","journal article","Russian",""
"53846","ref","auth,class","W. F.","Koch","","","","1996","Atlanticocoelia, new leptocoeliid (Brachiopoda) genus from the Devonian of Eastern North America","Journal of Paleontology","","70","6","1088","1090","journal article","English",""
"25942","ref","auth,class","W.F.","Koch","","","","1986","Delthyris sculptilis Hall, 1843 (Brachiopoda) from the Middle Devonian Hamilton Group Is a Megakoslowskiella","Journal of Paleontology","","60","4","965","967","journal article","English",""
"13310","ref","auth","M.","Kochanova","J.","Mello","M. Siblik","1975","Fossilien aus dem Wettersteinkalke des Slowakischen Karstes (Lokalitat Silicka)","Geologicke prace, Spravy","","63","","55","56","journal article","German",""
"39987","ref","auth","B. V.","Koczyrkevicz","","","","1969","K sistematike nadsemeystva Stenoscismatacea Oehlert, 1887 (1883) (Brachiopoda)","Iskopaemaya Fauna i Flora Dal'nego Vostoka","M.N. Gramm, V.A. Krasilov","1","","7","16","book/book chapter","Russian",""
"40142","ref","auth,class","B. V.","Koczyrkevicz","","","","1984","Sistematika i novye taksony pozdnepermskikh Terebratulid (Brachiopoda) yuzhnogo Primor'ya","Sistematikha i Evolyutsiya Bespozvonochnykh Dal'nego Vostoka","","","","9","22","book/book chapter","Russian",""
"40514","ref","auth,class","B. V.","Koczyrkevicz","","","","1976","Permskie Geterelazminidy (Brachiopoda) yuzhnogo Primor'ya","Morfologiya i Sistematika Iskopaemykh Bespozvonochnykh Dal'nego Vostoka","","","","73","78","book/book chapter","Russian",""
"40515","ref","auth,class","B. V.","Koczyrkevicz","","","","1976","Novyi rod Permskikh Basiliolacea (Brachiopoda)","Morfologiya i Sistematika Iskopaemykh Bespozvonochnykh Dal'nego Vostoka","","","","79","81","book/book chapter","Russian",""
"40822","ref","auth,class","B. V.","Koczyrkevicz","","","","1979","Novye Permskie Rhynchopora (Brachiopoda) yuzhnogo Primor'ya i nekotorye voprosy ikh morfologii","Iskopaemye Bespozvonochnye Dal'nego Vostoka (Dannye Po Novym Nakhodkam)","","","","41","49","book/book chapter","Russian",""
"40823","ref","auth,class","B. V.","Koczyrkevicz","","","","1979","Permskie stenostsizmatatsei (Brachiopoda) yuzhnogo Primor'ya","Iskopaemye Bespozvonochnye Dal'nego Vostoka (Dannye Po Novym Nakhodkam)","","","","50","59","book/book chapter","Russian",""
"36389","ref","auth,class","G. S.","Koczyrkevicz","","","","1983","Brachopod names","Evolution of the latest Permian biota: Dzhulfian and Dorashamian regional stages in the USSR","","","","1","200","book/book chapter","Russian",""
"21400","ref","auth,class","C. D. E.","Koenig","","","","1825","","Icones Fossilium Sectiles, Centuria Prima","","","","1","4","book/book chapter","other",""
"53401","ref","auth,class","V. N.","Komarov","E. I.","Sannikova","","2009","First record of Pygites Buckman (Terebratulida, Brachiopoda) in the Mountain Crimea","Izvestiya Vysshikh Uchebnykh Zavedeniy Geologiya i Razvedka","","3","","85","86","journal article","Russian",""
"32728","ref","auth","S. P.","Koneva","","","","1986","Novoe Semeystvo kembriyskikh bezzamkovykh brachiopod","Paleontological Journal","","1986","1","49","55","journal article","Russian",""
"49297","ref","auth,class","T. N.","Koren","R. F.","Sobolevskaya","","2008","The regional stratotype section and point for the base of the Hirnantian Stage (the uppermost Ordovician) at Mirny Creek, Omulev Mountains, Northeast Russia","Estonian Journal of Earth Sciences","","57","1","1","10","journal article","English","10.3176/earth.2008.1.01"
"49755","ref","auth,class","E.","Koskeridou","","","","2007","Pliocene Brachiopods from Rhodes Island (Cape Vagia section)","Bulletin of the Geological Society of Greece","","40","","121","133","journal article","English",""
"32420","ref","auth,class","G. V.","Kotljar","","","","1977","Taxonomic names, in Pozdnepaleozoyskie produktidy Sibiri i Arktiki","Akademiya Nauk SSSR, Trudy Paleontologicheskogo Instituta","","161","","1","220","serial monograph","English",""
"33202","ref","auth,class","G. V.","Kotlyar","","","","1989","Taxonomic Names: Brachiopoda","Evolution of the latest Permian biota: Midian regional stage in the USSR","","","","1","184","book/book chapter","Russian",""
"37660","ref","auth,class","G. V.","Kotlyar","","","","1977","Taxonomic names, in Pozdnepaleozoyskie produktidy Sibiri i Arktiki [Upper Paleozoic productids of Siberia and the Arctic]","Akademiya Nauk SSSR, Trudy Paleontologicheskogo Instituta","","161","","1","220","journal article","English",""
"15695","ref","auth,class","G. V.","Kotlyar","G. C.","Belyansky","V. I. Burago, A. P. Nikitina, Yu. D. Zakharov, A. V. Zhuravlev\r\n","2006","South Primorye, Far East Russia: A key region for global Permian correlation","Journal of Asian Earth Sciences","","","","","","journal article","English",""
"17419","ref","auth,class","G. V.","Kotlyar","Y. D.","Zakharov","I. V. Polubotko","2004","Late Changhsingian fauna of the northwestern Caucasus Mountains, Russia","Journal of Paleontology","","78","3","513","527","journal article","English",""
"27689","ref","auth,class","G.V.","Kotlyar","","","","1978","Taxonomic Names in Permiskie brakhiopodi yujnogo Primoriya","Verkhniy Paleozoi Severo-Vostochnoi Azii","","","","63","75","book/book chapter","Russian",""
"27433","ref","class","G.V.","Kotlyar","A.","Baud","G.P. Pronina, Y.D. Zakharov, V.Yu. Vuks, M.K. Nestell, G.V. Belyaeva, J. Marcoux","1999","Permian and Triassic exotic blocks of the Crimea","Geodiversitas","","1","3","299","323","journal article","English",""
"32686","ref","auth,class","A.","Kouchinsky","S.","Bengtson","D. J. E. Murdock","2010","A new tannuolinid problematic from the lower Cambrian of the Sukharikha River in northern Siberia","Acta Palaeontologica Polonica","","55","2","321","331","journal article","English",""
"56883","ref","auth,class","A.","Kouchinsky","L. E.","Holmer","M. Steiner, G. T. Ushatinskaya","2015","The new stem-group brachiopod Oymurania from the lower Cambrian of Siberia","Acta Palaeontologica Polonica","","60","","","","journal article","English","10.4202/app.00037.2013"
"38503","ref","auth,class","R.","Kozlowski","","","","1914","Les brachiopodes du Carbonifère supérieur de Bolivie","Annales de Paléontologie","","9","","1","100","journal article","French",""
"61937","ref","auth,class","R.","Kozlowski","","","","1946","Howellella, a new name for Crispella Kozlowski, 1929\r\n","Journal of Paleontology","","20","","295","295","journal article","English",""
"32351","ref","auth,class","E.","Kristan-Tollmann","A.","Tollmann","A. Hamedani","1979","Beiträge zur Kenntnis der Trias von Persien. I - Revision der Triasgliederung, Rhätfazies in Raum von Isfaham und Kossener Fazieseinschlag bei Waliabad SE Abadeh","Mitteilungen der österreichischen geologischen Gesellschaft","","70","","119","190","journal article","German",""
"49760","ref","auth,class","A.","Kroh","","","","2003","The Brachiopoda of the Langhian (Lower Badenian) of the Molasse Zone and northern Vienna Basin (Austria","Annalen des Naturhistorischen Museums in Wien, Serie A","","104","","145","153","journal article","English",""
"49021","ref","auth","A.","Kroh","M. A.","Bitner","S.P. Avila","2008","Novocrania turbinata (Brachiopoda) from the Early Pliocene of the Azores (Portugal)","Acta Palaeontologica Polonica","","58","4","473","478","journal article","English",""
