stage,hex_id,genus_richness,n_occurrences,n_collections,centroid_lng,centroid_lat
Sandbian,1386,1,1,1,-92.1,-16.65
Sandbian,1461,7,7,2,-69.4314285714286,-28.2514285714286
Sandbian,1462,45,87,10,-66.1657471264368,-26.3663218390805
Sandbian,1470,39,87,29,-67.4286206896552,-29.9312643678161
Sandbian,1471,47,463,196,-59.5498056155508,-28.4683585313175
Sandbian,1480,58,495,207,-61.063696969697,-30.5463838383838
Sandbian,1481,2,5,3,-56.43,-27.54
Sandbian,1489,8,12,5,-62.8091666666667,-33.385
Sandbian,1490,23,50,20,-58.2952,-30.9172
Sandbian,1498,5,5,2,-60.58,-33.32
Sandbian,1505,5,5,1,-83.86,-43.14
Sandbian,1515,28,34,16,-81.6473529411765,-44.4023529411765
Sandbian,1523,40,137,11,-82.1373722627737,-44.5886861313869
Sandbian,1524,3,4,1,-73.93,-45.36
Sandbian,1730,38,65,14,13.7267692307692,-65.0486153846154
Sandbian,1748,7,10,4,14.098,-68.904
Sandbian,1757,24,36,4,14.9616666666667,-73.1263888888889
Sandbian,356,2,2,2,-57.02,15.515
Sandbian,392,3,3,1,-52.93,7.75
Sandbian,413,2,2,1,-35.84,13.64
Sandbian,421,7,8,2,-38.38375,9.145
Sandbian,431,15,145,30,-36.3774482758621,8.58158620689655
Sandbian,440,9,12,2,-39.24,3.31
Sandbian,441,2,2,1,-32.45,9.79
Sandbian,449,2,2,2,-34.13,5.84
Sandbian,471,20,22,1,-65.42,-24.2
Sandbian,480,75,227,62,-68.6188105726872,-27.2467841409692
Sandbian,848,2,2,2,69.7858,-13.02535
Sandbian,857,3,8,5,70.190025,-14.05725
Sandbian,867,3,5,5,71.48642,-11.69914
Sandbian,868,1,1,1,73.5988,-1.6317
Telychian,1284,9,10,2,-108.13,1.62
Telychian,1328,6,15,6,-120.84,-19.302
Telychian,1367,7,7,2,-95.4128571428572,-15.0757142857143
Telychian,1375,6,6,1,-104.63,-25.81
Telychian,1386,49,445,48,-92.5235280898876,-18.3718202247191
Telychian,1393,48,178,17,-102.127752808989,-27.0033146067416
Telychian,1403,35,51,4,-100.117450980392,-27.4333333333333
Telychian,1404,9,10,4,-91.673,-21.932
Telychian,1413,7,8,3,-94.38,-26.965
Telychian,1420,8,10,1,-102.47,-35.24
Telychian,1421,25,25,1,-97.02,-31.49
Telychian,320,16,22,1,-56.72,26.24
Telychian,356,4,4,1,-56.3,13.76
Telychian,464,18,31,5,-57.3235483870968,-15.281935483871
Telychian,841,14,27,8,69.6615962962963,0.0524222222222223
Telychian,849,7,7,2,69.1569,-1.9765
Telychian,850,23,137,62,70.3596197080292,3.34676350364964
Telychian,859,45,308,99,70.5374964285714,-0.634442532467533
Telychian,869,15,66,17,72.2811772727273,4.21342727272727
Telychian,877,61,416,101,74.6023192307692,0.957531971153846
